stimulus_id,f0_name,f0_hz,cents,freq_hz,condition,wav_path,sample_rate,duration_sec
A5_minus_3c_harmonic,A5,880.0,-3,878.4763966857054,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_minus_3c_harmonic.wav,48000,1.0
A5_minus_2c_pure,A5,880.0,-2,878.9839711294666,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_minus_2c_pure.wav,48000,1.0
A5_minus_2c_harmonic,A5,880.0,-2,878.9839711294666,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_minus_2c_harmonic.wav,48000,1.0
A5_minus_1c_pure,A5,880.0,-1,879.491838844415,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_minus_1c_pure.wav,48000,1.0
A5_minus_1c_harmonic,A5,880.0,-1,879.491838844415,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_minus_1c_harmonic.wav,48000,1.0
A5_0c_pure,A5,880.0,0,880.0,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_0c_pure.wav,48000,1.0
A5_0c_harmonic,A5,880.0,0,880.0,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_0c_harmonic.wav,48000,1.0
A5_plus_1c_pure,A5,880.0,1,880.5084547657683,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_plus_1c_pure.wav,48000,1.0
A5_plus_1c_harmonic,A5,880.0,1,880.5084547657683,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_plus_1c_harmonic.wav,48000,1.0
A5_plus_2c_pure,A5,880.0,2,881.0172033113648,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_plus_2c_pure.wav,48000,1.0
A5_plus_2c_harmonic,A5,880.0,2,881.0172033113648,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_plus_2c_harmonic.wav,48000,1.0
A5_plus_3c_pure,A5,880.0,3,881.5262458065324,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_plus_3c_pure.wav,48000,1.0
A5_plus_3c_harmonic,A5,880.0,3,881.5262458065324,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_plus_3c_harmonic.wav,48000,1.0
A5_plus_5c_pure,A5,880.0,5,882.545213325043,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_plus_5c_pure.wav,48000,1.0
A5_plus_5c_harmonic,A5,880.0,5,882.545213325043,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_plus_5c_harmonic.wav,48000,1.0
A5_plus_10c_pure,A5,880.0,10,885.097788139711,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_plus_10c_pure.wav,48000,1.0
A5_plus_10c_harmonic,A5,880.0,10,885.097788139711,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_plus_10c_harmonic.wav,48000,1.0
A5_plus_20c_pure,A5,880.0,20,890.2251074656918,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_plus_20c_pure.wav,48000,1.0
A5_plus_20c_harmonic,A5,880.0,20,890.2251074656918,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_plus_20c_harmonic.wav,48000,1.0
